Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2000-05-19,2000,5,19,2,4,20,0,0,May,Friday
2000-05-20,2000,5,20,2,5,20,1,0,May,Saturday
2000-05-21,2000,5,21,2,6,20,1,0,May,Sunday
2000-05-22,2000,5,22,2,0,21,0,0,May,Monday
2000-05-23,2000,5,23,2,1,21,0,0,May,Tuesday
2000-05-24,2000,5,24,2,2,21,0,0,May,Wednesday
2000-05-25,2000,5,25,2,3,21,0,0,May,Thursday
2000-05-26,2000,5,26,2,4,21,0,0,May,Friday
2000-05-27,2000,5,27,2,5,21,1,0,May,Saturday
2000-05-28,2000,5,28,2,6,21,1,0,May,Sunday
2000-05-29,2000,5,29,2,0,22,0,0,May,Monday
2000-05-30,2000,5,30,2,1,22,0,0,May,Tuesday
2000-05-31,2000,5,31,2,2,22,0,0,May,Wednesday
2000-06-01,2000,6,1,2,3,22,0,0,June,Thursday
2000-06-02,2000,6,2,2,4,22,0,0,June,Friday
2000-06-03,2000,6,3,2,5,22,1,0,June,Saturday
2000-06-04,2000,6,4,2,6,22,1,0,June,Sunday
2000-06-05,2000,6,5,2,0,23,0,0,June,Monday
2000-06-06,2000,6,6,2,1,23,0,0,June,Tuesday
2000-06-07,2000,6,7,2,2,23,0,0,June,Wednesday
2000-06-08,2000,6,8,2,3,23,0,0,June,Thursday
2000-06-09,2000,6,9,2,4,23,0,0,June,Friday
2000-06-10,2000,6,10,2,5,23,1,0,June,Saturday
2000-06-11,2000,6,11,2,6,23,1,0,June,Sunday
2000-06-12,2000,6,12,2,0,24,0,0,June,Monday
2000-06-13,2000,6,13,2,1,24,0,0,June,Tuesday
2000-06-14,2000,6,14,2,2,24,0,0,June,Wednesday
2000-06-15,2000,6,15,2,3,24,0,0,June,Thursday
2000-06-16,2000,6,16,2,4,24,0,0,June,Friday
2000-06-17,2000,6,17,2,5,24,1,0,June,Saturday
2000-06-18,2000,6,18,2,6,24,1,0,June,Sunday
2000-06-19,2000,6,19,2,0,25,0,0,June,Monday
2000-06-20,2000,6,20,2,1,25,0,0,June,Tuesday
2000-06-21,2000,6,21,2,2,25,0,0,June,Wednesday
2000-06-22,2000,6,22,2,3,25,0,0,June,Thursday
2000-06-23,2000,6,23,2,4,25,0,0,June,Friday
2000-06-24,2000,6,24,2,5,25,1,0,June,Saturday
2000-06-25,2000,6,25,2,6,25,1,0,June,Sunday
