Date,Year,Month,Day,Quarter,Weekday,WeekOfYear,IsWeekend,IsHoliday,MonthName,DayName
2020-05-24,2020,5,24,2,6,21,1,0,May,Sunday
2020-05-25,2020,5,25,2,0,22,0,0,May,Monday
2020-05-26,2020,5,26,2,1,22,0,0,May,Tuesday
2020-05-27,2020,5,27,2,2,22,0,0,May,Wednesday
2020-05-28,2020,5,28,2,3,22,0,0,May,Thursday
2020-05-29,2020,5,29,2,4,22,0,0,May,Friday
2020-05-30,2020,5,30,2,5,22,1,0,May,Saturday
2020-05-31,2020,5,31,2,6,22,1,0,May,Sunday
2020-06-01,2020,6,1,2,0,23,0,0,June,Monday
2020-06-02,2020,6,2,2,1,23,0,0,June,Tuesday
2020-06-03,2020,6,3,2,2,23,0,0,June,Wednesday
2020-06-04,2020,6,4,2,3,23,0,0,June,Thursday
2020-06-05,2020,6,5,2,4,23,0,0,June,Friday
2020-06-06,2020,6,6,2,5,23,1,0,June,Saturday
2020-06-07,2020,6,7,2,6,23,1,0,June,Sunday
2020-06-08,2020,6,8,2,0,24,0,0,June,Monday
2020-06-09,2020,6,9,2,1,24,0,0,June,Tuesday
2020-06-10,2020,6,10,2,2,24,0,0,June,Wednesday
2020-06-11,2020,6,11,2,3,24,0,0,June,Thursday
2020-06-12,2020,6,12,2,4,24,0,0,June,Friday
2020-06-13,2020,6,13,2,5,24,1,0,June,Saturday
2020-06-14,2020,6,14,2,6,24,1,0,June,Sunday
2020-06-15,2020,6,15,2,0,25,0,0,June,Monday
2020-06-16,2020,6,16,2,1,25,0,0,June,Tuesday
2020-06-17,2020,6,17,2,2,25,0,0,June,Wednesday
2020-06-18,2020,6,18,2,3,25,0,0,June,Thursday
2020-06-19,2020,6,19,2,4,25,0,0,June,Friday
2020-06-20,2020,6,20,2,5,25,1,0,June,Saturday
2020-06-21,2020,6,21,2,6,25,1,0,June,Sunday
2020-06-22,2020,6,22,2,0,26,0,0,June,Monday
2020-06-23,2020,6,23,2,1,26,0,0,June,Tuesday
2020-06-24,2020,6,24,2,2,26,0,0,June,Wednesday
2020-06-25,2020,6,25,2,3,26,0,0,June,Thursday
2020-06-26,2020,6,26,2,4,26,0,0,June,Friday
2020-06-27,2020,6,27,2,5,26,1,0,June,Saturday
2020-06-28,2020,6,28,2,6,26,1,0,June,Sunday
2020-06-29,2020,6,29,2,0,27,0,0,June,Monday
2020-06-30,2020,6,30,2,1,27,0,0,June,Tuesday
2020-07-01,2020,7,1,3,2,27,0,0,July,Wednesday
2020-07-02,2020,7,2,3,3,27,0,0,July,Thursday
2020-07-03,2020,7,3,3,4,27,0,0,July,Friday
2020-07-04,2020,7,4,3,5,27,1,0,July,Saturday
2020-07-05,2020,7,5,3,6,27,1,0,July,Sunday
2020-07-06,2020,7,6,3,0,28,0,0,July,Monday
2020-07-07,2020,7,7,3,1,28,0,0,July,Tuesday
2020-07-08,2020,7,8,3,2,28,0,0,July,Wednesday
2020-07-09,2020,7,9,3,3,28,0,0,July,Thursday
2020-07-10,2020,7,10,3,4,28,0,0,July,Friday
2020-07-11,2020,7,11,3,5,28,1,0,July,Saturday
2020-07-12,2020,7,12,3,6,28,1,0,July,Sunday
2020-07-13,2020,7,13,3,0,29,0,0,July,Monday
2020-07-14,2020,7,14,3,1,29,0,0,July,Tuesday
2020-07-15,2020,7,15,3,2,29,0,0,July,Wednesday
2020-07-16,2020,7,16,3,3,29,0,0,July,Thursday
2020-07-17,2020,7,17,3,4,29,0,0,July,Friday
2020-07-18,2020,7,18,3,5,29,1,0,July,Saturday
2020-07-19,2020,7,19,3,6,29,1,0,July,Sunday
2020-07-20,2020,7,20,3,0,30,0,0,July,Monday
2020-07-21,2020,7,21,3,1,30,0,0,July,Tuesday
2020-07-22,2020,7,22,3,2,30,0,0,July,Wednesday
2020-07-23,2020,7,23,3,3,30,0,0,July,Thursday
2020-07-24,2020,7,24,3,4,30,0,0,July,Friday
2020-07-25,2020,7,25,3,5,30,1,0,July,Saturday
2020-07-26,2020,7,26,3,6,30,1,0,July,Sunday
2020-07-27,2020,7,27,3,0,31,0,0,July,Monday
2020-07-28,2020,7,28,3,1,31,0,0,July,Tuesday
2020-07-29,2020,7,29,3,2,31,0,0,July,Wednesday
2020-07-30,2020,7,30,3,3,31,0,0,July,Thursday
2020-07-31,2020,7,31,3,4,31,0,0,July,Friday
2020-08-01,2020,8,1,3,5,31,1,0,August,Saturday
2020-08-02,2020,8,2,3,6,31,1,0,August,Sunday
2020-08-03,2020,8,3,3,0,32,0,0,August,Monday
2020-08-04,2020,8,4,3,1,32,0,0,August,Tuesday
2020-08-05,2020,8,5,3,2,32,0,0,August,Wednesday
2020-08-06,2020,8,6,3,3,32,0,0,August,Thursday
2020-08-07,2020,8,7,3,4,32,0,0,August,Friday
2020-08-08,2020,8,8,3,5,32,1,0,August,Saturday
2020-08-09,2020,8,9,3,6,32,1,0,August,Sunday
2020-08-10,2020,8,10,3,0,33,0,0,August,Monday
2020-08-11,2020,8,11,3,1,33,0,0,August,Tuesday
2020-08-12,2020,8,12,3,2,33,0,0,August,Wednesday
2020-08-13,2020,8,13,3,3,33,0,0,August,Thursday
2020-08-14,2020,8,14,3,4,33,0,0,August,Friday
2020-08-15,2020,8,15,3,5,33,1,0,August,Saturday
2020-08-16,2020,8,16,3,6,33,1,0,August,Sunday
2020-08-17,2020,8,17,3,0,34,0,0,August,Monday
2020-08-18,2020,8,18,3,1,34,0,0,August,Tuesday
2020-08-19,2020,8,19,3,2,34,0,0,August,Wednesday
2020-08-20,2020,8,20,3,3,34,0,0,August,Thursday
2020-08-21,2020,8,21,3,4,34,0,0,August,Friday
2020-08-22,2020,8,22,3,5,34,1,0,August,Saturday
2020-08-23,2020,8,23,3,6,34,1,0,August,Sunday
